coronavirus,face mask,isPartial
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
0,0,False
3,0,False
3,0,False
4,0,False
8,0,False
8,0,False
10,0,False
11,0,False
11,0,False
11,0,False
12,0,False
11,0,False
9,0,False
8,0,False
7,0,False
6,0,False
5,0,False
6,0,False
6,0,False
6,0,False
5,0,False
5,0,False
5,0,False
4,0,False
5,0,False
4,0,False
4,0,False
3,0,False
4,0,False
4,0,False
3,0,False
3,0,False
3,0,False
4,0,False
5,0,False
7,0,False
10,0,False
16,1,False
18,1,False
18,1,False
19,1,False
17,1,False
26,1,False
25,0,False
23,0,False
28,0,False
29,0,False
30,0,False
29,0,False
37,0,False
45,0,False
54,0,False
96,1,False
85,1,False
77,1,False
100,0,False
95,0,False
85,0,False
80,0,False
78,1,False
74,1,False
72,1,False
76,1,False
70,1,False
62,1,False
59,1,False
59,1,False
57,1,False
57,1,False
54,1,False
50,1,False
47,1,False
47,2,False
46,3,False
55,5,False
59,7,False
59,5,False
